episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_healthy_workers,timesteps_total,agent_timesteps_total,done,episodes_total,training_iteration,experiment_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,timesteps_since_restore,iterations_since_restore,trial_id,hist_stats/episode_reward,hist_stats/episode_lengths,sampler_perf/mean_raw_obs_processing_ms,sampler_perf/mean_inference_ms,sampler_perf/mean_action_processing_ms,sampler_perf/mean_env_wait_ms,sampler_perf/mean_env_render_ms,timers/sample_time_ms,timers/sample_throughput,timers/learn_time_ms,timers/learn_throughput,timers/update_time_ms,info/num_steps_sampled,info/num_agent_steps_sampled,info/num_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,perf/gpu_util_percent0,perf/vram_util_percent0,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
-12.296,-52.497,-32.3965,33396.5,2,2,66793,66793,False,2,1,1ec708188bda47029462fe51dd074a17,2021-07-11_19-28-24,1626020904,155.319650888443,155.319650888443,12292,hany606,10.241.1.238,155.319650888443,0,1,9635c_00000,"[-12.296, -52.497]","[13296, 53497]",0.05092227046453762,0.818634693779158,0.06078788327487157,0.05673199663354994,0.0,51361.902,1300.439,103950.241,642.548,2.834,66793,66793,66793,20.455392156862747,70.03529411764704,0.23308823529411762,0.33003149018286115,0.0,0.2,5.000000000000001e-05,2.1795822889829535,-0.0004147482675525192,2.179546135533922,-0.070634596,0.002254543419756973,5.668839381572387,0.0
-7.156000000000001,-52.497,-22.522000000000002,23522.0,2,2,94088,94088,False,4,2,1ec708188bda47029462fe51dd074a17,2021-07-11_19-29-26,1626020966,61.246498107910156,216.56614899635315,12292,hany606,10.241.1.238,216.56614899635315,0,2,9635c_00000,"[-12.296, -52.497, -7.156000000000001, -18.139]","[13296, 53497, 8156, 19139]",0.05138737779224654,0.8286632314109132,0.06152756921716526,0.057432216183758156,0.0,35303.271,1332.568,72967.426,644.726,2.632,94088,94088,94088,20.83,70.94875,0.24775,0.3287938153016515,0.0,0.09999999999999999,5e-05,0.6880944346025516,-0.0031522908248007298,0.6902722881206041,-0.0027170219,0.009744384097562077,5.767956874080908,0.0
-3.521,-52.497,-18.209,19209.0,2,2,115254,115254,False,6,3,1ec708188bda47029462fe51dd074a17,2021-07-11_19-30-13,1626021013,47.684815406799316,264.25096440315247,12292,hany606,10.241.1.238,264.25096440315247,0,3,9635c_00000,"[-12.296, -52.497, -7.156000000000001, -18.139, -3.521, -15.645]","[13296, 53497, 8156, 19139, 4521, 16645]",0.05163870600631678,0.8333846571380663,0.06188941320358943,0.05778781114982676,0.0,28976.598,1325.829,59095.768,650.097,2.513,115254,115254,115254,21.306451612903224,70.63225806451614,0.25306451612903225,0.3296557835110953,0.0,0.09999999999999999,5e-05,0.6009698545515357,-0.0006516114864722792,0.6006493694317269,-0.009449517,0.00972095698522157,5.659926101385829,0.0
-3.521,-52.497,-26.225749999999998,27225.75,2,2,217806,217806,False,8,4,1ec708188bda47029462fe51dd074a17,2021-07-11_19-33-47,1626021227,214.07842254638672,478.3293869495392,12292,hany606,10.241.1.238,478.3293869495392,0,4,9635c_00000,"[-12.296, -52.497, -7.156000000000001, -18.139, -3.521, -15.645, -48.283, -52.269]","[13296, 53497, 8156, 19139, 4521, 16645, 49283, 53269]",0.05176303437173552,0.8344627226512303,0.06196285496604296,0.05783373159358995,0.0,35261.964,1544.199,84309.951,645.849,2.411,217806,217806,217806,20.944802867383515,71.51146953405016,0.26150537634408605,0.3230354690121806,0.0,0.1,5.0000000000000016e-05,2.4694551882529145,-0.00027035074331739596,2.469132675158738,-0.06558395,0.005928632199991857,5.658939183204251,0.0
-3.521,-52.497,-23.121,24121.0,2,2,241210,241210,False,10,5,1ec708188bda47029462fe51dd074a17,2021-07-11_19-34-40,1626021280,52.37181544303894,530.7012023925781,12292,hany606,10.241.1.238,530.7012023925781,0,5,9635c_00000,"[-12.296, -52.497, -7.156000000000001, -18.139, -3.521, -15.645, -48.283, -52.269, -4.964, -16.44]","[13296, 53497, 8156, 19139, 4521, 16645, 49283, 53269, 5964, 17440]",0.05182572693298541,0.835264240764879,0.062024376180354265,0.057878537158761414,0.0,31606.503,1526.331,74520.094,647.369,2.369,241210,241210,241210,20.117391304347827,71.26086956521738,0.24028985507246378,0.3077646380719314,0.0,0.09999999999999998,5e-05,0.624054990841147,-0.0019966148481261534,0.625239432519658,-0.009257293,0.008121785880804387,5.631868180030031,0.0
-3.521,-97.559,-31.025833333333335,32025.833333333332,2,2,384310,384310,False,12,6,1ec708188bda47029462fe51dd074a17,2021-07-11_19-39-50,1626021590,310.159893989563,840.8610963821411,12292,hany606,10.241.1.238,840.8610963821411,0,6,9635c_00000,"[-12.296, -52.497, -7.156000000000001, -18.139, -3.521, -15.645, -48.283, -52.269, -4.964, -16.44, -97.559, -43.541]","[13296, 53497, 8156, 19139, 4521, 16645, 49283, 53269, 5964, 17440, 98559, 44541]",0.05179973288656237,0.8341785269039009,0.06194989165635181,0.05778892391647425,0.0,42400.619,1510.63,97730.233,655.393,2.337,384310,384310,384310,21.41604938271605,73.81283950617285,0.2884691358024692,0.3214228946393872,0.0,0.09999999999999999,5.000000000000001e-05,3.9986550732564066,0.00015143577254348982,3.998233773002121,-0.2329391,0.002698912448020675,5.642769112783169,0.0
-3.521,-97.559,-27.629428571428573,28629.428571428572,2,2,400812,400812,False,14,7,1ec708188bda47029462fe51dd074a17,2021-07-11_19-40-23,1626021623,32.97752594947815,873.8386223316193,12292,hany606,10.241.1.238,873.8386223316193,0,7,9635c_00000,"[-12.296, -52.497, -7.156000000000001, -18.139, -3.521, -15.645, -48.283, -52.269, -4.964, -16.44, -97.559, -43.541, -10.257, -4.245]","[13296, 53497, 8156, 19139, 4521, 16645, 49283, 53269, 5964, 17440, 98559, 44541, 11257, 5245]",0.0517785380654245,0.8333876608536769,0.06190200187288909,0.0577301481414345,0.0,37906.431,1510.531,86912.001,658.814,2.273,400812,400812,400812,20.972727272727273,75.19318181818181,0.24363636363636365,0.34262110488096337,0.0,0.049999999999999996,5.000000000000001e-05,0.3662684259199819,-0.001792482959554177,0.367573434653035,-0.005569122,0.00974956319068176,5.613219963487729,0.0
-3.521,-97.559,-25.598687499999997,26598.6875,2,2,425579,425579,False,16,8,1ec708188bda47029462fe51dd074a17,2021-07-11_19-41-16,1626021676,53.2619903087616,927.1006126403809,12292,hany606,10.241.1.238,927.1006126403809,0,8,9635c_00000,"[-12.296, -52.497, -7.156000000000001, -18.139, -3.521, -15.645, -48.283, -52.269, -4.964, -16.44, -97.559, -43.541, -10.257, -4.245, -18.335, -4.432]","[13296, 53497, 8156, 19139, 4521, 16645, 49283, 53269, 5964, 17440, 98559, 44541, 11257, 5245, 19335, 5432]",0.051770886679419176,0.8328122809155907,0.061875119784772864,0.05769263961539842,0.0,35586.121,1494.891,80286.909,662.591,2.223,425579,425579,425579,22.362857142857145,75.00285714285714,0.24499999999999997,0.34378400500746303,0.0,0.049999999999999996,5.000000000000001e-05,0.7151452484348616,-0.0013121239572148962,0.7159645237105409,-0.030010967,0.009856840545196355,5.683670896844766,0.0
-3.521,-97.559,-26.07511111111111,27075.11111111111,2,2,487352,487352,False,18,9,1ec708188bda47029462fe51dd074a17,2021-07-11_19-43-19,1626021799,122.20525908470154,1049.3058717250824,12292,hany606,10.241.1.238,1049.3058717250824,0,9,9635c_00000,"[-12.296, -52.497, -7.156000000000001, -18.139, -3.521, -15.645, -48.283, -52.269, -4.964, -16.44, -97.559, -43.541, -10.257, -4.245, -18.335, -4.432, -22.61, -37.163]","[13296, 53497, 8156, 19139, 4521, 16645, 49283, 53269, 5964, 17440, 98559, 44541, 11257, 5245, 19335, 5432, 23610, 38163]",0.05172267413953227,0.8316550725363236,0.061808724806065155,0.057617756259624585,0.0,35605.682,1520.831,80970.08,668.768,2.208,487352,487352,487352,21.056521739130435,74.75527950310558,0.27751552795031054,0.34659096856309674,0.0,0.05000000000000001,5.000000000000001e-05,1.5290360947180053,-0.0010461789125858134,1.5296021920916147,-0.018410064,0.009601271362284943,5.633063535512604,0.0
-3.521,-97.559,-25.9904,26990.4,2,2,539808,539808,False,20,10,1ec708188bda47029462fe51dd074a17,2021-07-11_19-45-06,1626021906,107.1497414112091,1156.4556131362915,12292,hany606,10.241.1.238,1156.4556131362915,0,10,9635c_00000,"[-12.296, -52.497, -7.156000000000001, -18.139, -3.521, -15.645, -48.283, -52.269, -4.964, -16.44, -97.559, -43.541, -10.257, -4.245, -18.335, -4.432, -22.61, -37.163, -12.867, -37.589]","[13296, 53497, 8156, 19139, 4521, 16645, 49283, 53269, 5964, 17440, 98559, 44541, 11257, 5245, 19335, 5432, 23610, 38163, 13867, 38589]",0.05164149067200992,0.8301705943552911,0.06171378454227185,0.057518642516980564,0.0,35520.324,1519.716,80111.364,673.822,2.224,539808,539808,539808,19.630496453900708,74.045390070922,0.2564539007092198,0.34694882477942957,0.0,0.05,5.000000000000001e-05,1.501986936266284,-0.0007116527728191236,1.502337245760122,-0.03874169,0.007226498114944594,5.604852455418285,0.0
